question,ground_truth,contexts,evolution_type
What does faithfulness measure in RAG evaluation?,RAG evaluation measures whether answers are grounded in retrieved context.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
What does answer relevancy measure?,Answer relevancy measures whether the answer addresses the user's question.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
Why is context precision important?,Context precision measures whether retrieved chunks are useful and on topic.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set."", ""A CI/CD evaluation gate runs tests on pull requests and blocks merges when quality metrics fall below minimum thresholds.""]",simple
Why is context recall important?,Context recall measures whether needed evidence was retrieved.,"[""RAG evaluation checks faithfulness, answer relevancy, context precision, and context recall against a reviewed test set.""]",simple
What is a guardrail stack?,"A guardrail stack validates inputs, redacts PII, detects attacks, checks outputs, and logs events.","[""A guardrail stack commonly includes input validation, PII redaction, injection detection, output safety checks, and audit logging.""]",simple
What is PII detection?,"PII detection finds sensitive identifiers such as email, phone, IDs, and bank numbers.","[""PII detection should catch emails, phone numbers, citizen IDs, bank numbers, and names before sensitive text reaches logs or model calls.""]",simple
What is LLM-as-judge?,LLM-as-judge uses a model and rubric to score or compare answers.,"[""LLM-as-judge systems should use rubrics, pairwise comparison, position swaps, and human calibration to reduce bias.""]",simple
Why use pairwise judging?,Pairwise judging compares two answers and can be easier than assigning absolute scores.,"[""LLM-as-judge systems should use rubrics, pairwise comparison, position swaps, and human calibration to reduce bias.""]",simple
What is Cohen's Kappa used for?,Cohen's Kappa measures agreement between judge labels and human labels.,"[""LLM-as-judge systems should use rubrics, pairwise comparison, position swaps, and human calibration to reduce bias.""]",simple
What is a latency benchmark?,"A latency benchmark reports timing percentiles such as P50, P95, and P99.","[""Latency benchmarks should report P50, P95, and P99 by layer so guardrail overhead and RAG latency are visible.""]",simple
