question_id,question,answer_a,answer_b,ground_truth,judge_count,final_winner,agreement_rate,accuracy_first_winner,accuracy_first_score_a,accuracy_first_score_b,concise_first_winner,concise_first_score_a,concise_first_score_b,completeness_first_winner,completeness_first_score_a,completeness_first_score_b
0,Tờ khai thuế GTGT trong BCTC.pdf sử dụng mẫu số nào?,Mẫu số 01/GTGT.,"Mẫu số 01/GTGT. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Mẫu số 01/GTGT.,3,tie,0.667,tie,0.79,0.806,B,0.71,0.806,tie,0.812,0.844
1,Kỳ tính thuế của tờ khai thuế GTGT là thời gian nào?,Quý 4 năm 2024.,"Quý 4 năm 2024. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Quý 4 năm 2024.,3,tie,1.0,tie,0.818,0.818,tie,0.818,0.818,tie,0.855,0.855
2,Tên người nộp thuế trong tờ khai là gì?,CÔNG TY CỔ PHẦN DHA SURFACES.,"CÔNG TY CỔ PHẦN DHA SURFACES. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",CÔNG TY CỔ PHẦN DHA SURFACES.,3,tie,1.0,tie,0.85,0.85,tie,0.85,0.85,tie,0.88,0.88
3,Mã số thuế của người nộp thuế trong tờ khai là gì?,0106769437.,"The document appears to discuss the topic, but the exact answer is not clearly available.",0106769437.,3,A,1.0,A,0.77,0.05,A,0.69,0.3,A,0.797,0.1
4,Nghị định 13/2023/NĐ-CP quy định về nội dung gì?,Bảo vệ dữ liệu cá nhân.,"Bảo vệ dữ liệu cá nhân. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Bảo vệ dữ liệu cá nhân.,3,tie,1.0,tie,0.833,0.833,tie,0.833,0.833,tie,0.867,0.867
5,Số thuế GTGT còn được khấu trừ kỳ trước chuyển sang là bao nhiêu?,77.377.803 đồng.,"The document appears to discuss the topic, but the exact answer is not clearly available.",77.377.803 đồng.,3,A,1.0,A,0.772,0.05,A,0.692,0.3,A,0.799,0.1
6,"Giá trị hàng hóa, dịch vụ mua vào trong kỳ và thuế GTGT tương ứng là bao nhiêu?","Giá trị hàng hóa, dịch vụ mua vào trong kỳ là 2.405.743.241 đồng; thuế GTGT tương ứng là 215.163.767 đồng.","Giá trị hàng hóa, dịch vụ mua vào trong kỳ là 2.405.743.241 đồng; thuế GTGT tương ứng là 215.163.767 đồng. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.","Giá trị hàng hóa, dịch vụ mua vào trong kỳ là 2.405.743.241 đồng; thuế GTGT tương ứng là 215.163.767 đồng.",3,tie,1.0,tie,0.971,0.971,tie,0.971,0.971,tie,0.976,0.976
7,"Hàng hóa, dịch vụ bán ra chịu thuế suất 10% có giá trị và thuế GTGT là bao nhiêu?",Giá trị là 3.703.685.610 đồng; thuế GTGT là 344.675.400 đồng.,"Giá trị là 3.703.685.610 đồng; thuế GTGT là 344.675.400 đồng. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Giá trị là 3.703.685.610 đồng; thuế GTGT là 344.675.400 đồng.,3,tie,1.0,tie,0.859,0.859,tie,0.859,0.859,tie,0.887,0.887
8,"Theo Nghị định 13/2023/NĐ-CP, số định danh cá nhân có được xem là dữ liệu cá nhân cơ bản không?",Có. Điều 2 liệt kê số định danh cá nhân trong nhóm dữ liệu cá nhân cơ bản.,"The document appears to discuss the topic, but the exact answer is not clearly available.",Có. Điều 2 liệt kê số định danh cá nhân trong nhóm dữ liệu cá nhân cơ bản.,3,A,1.0,A,0.9,0.05,A,0.9,0.3,A,0.92,0.1
9,"Theo Nghị định 13/2023/NĐ-CP, sự đồng ý của chủ thể dữ liệu chỉ có hiệu lực khi đáp ứng điều kiện gì?",Sự đồng ý chỉ có hiệu lực khi chủ thể dữ liệu tự nguyện và biết rõ nội dung đồng ý.,"Sự đồng ý chỉ có hiệu lực khi chủ thể dữ liệu tự nguyện và biết rõ nội dung đồng ý. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Sự đồng ý chỉ có hiệu lực khi chủ thể dữ liệu tự nguyện và biết rõ nội dung đồng ý.,3,tie,1.0,tie,0.893,0.893,tie,0.893,0.893,tie,0.914,0.914
10,Tờ khai GTGT thuộc tài liệu nào?,Tờ khai GTGT thuộc tài liệu BCTC.pdf.,"Tờ khai GTGT thuộc tài liệu BCTC.pdf. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Tờ khai GTGT thuộc tài liệu BCTC.pdf.,3,tie,1.0,tie,0.964,0.964,tie,0.964,0.964,tie,0.971,0.971
11,Nghị định 13/2023/NĐ-CP nói về chủ đề gì?,Nghị định 13/2023/NĐ-CP quy định về bảo vệ dữ liệu cá nhân.,"Nghị định 13/2023/NĐ-CP quy định về bảo vệ dữ liệu cá nhân. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Nghị định 13/2023/NĐ-CP quy định về bảo vệ dữ liệu cá nhân.,3,tie,1.0,tie,0.944,0.944,tie,0.944,0.944,tie,0.956,0.956
12,Tên doanh nghiệp trong tờ khai là gì?,Tên doanh nghiệp là CÔNG TY CỔ PHẦN DHA SURFACES.,"Tên doanh nghiệp là CÔNG TY CỔ PHẦN DHA SURFACES. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Tên doanh nghiệp là CÔNG TY CỔ PHẦN DHA SURFACES.,3,tie,1.0,tie,0.944,0.944,tie,0.944,0.944,tie,0.956,0.956
13,Mã số thuế của DHA SURFACES là gì?,Mã số thuế của DHA SURFACES là 0106769437.,"Mã số thuế của DHA SURFACES là 0106769437. This answer should be checked against retrieved contexts, source metadata, and the Lab 24 evaluation rubric before acceptance.",Mã số thuế của DHA SURFACES là 0106769437.,3,tie,1.0,tie,1.0,1.0,tie,1.0,1.0,tie,1.0,1.0
14,Kỳ tính thuế GTGT trong BCTC là quý nào?,Kỳ tính thuế GTGT là Quý 4 năm 2024.,"The document appears to discuss the topic, but the exact answer is not clearly available.",Kỳ tính thuế GTGT là Quý 4 năm 2024.,3,A,1.0,A,0.917,0.05,A,0.917,0.3,A,0.933,0.1
