question,answer,accuracy,relevance,conciseness,helpfulness,overall
Tờ khai thuế GTGT trong BCTC.pdf sử dụng mẫu số nào?,Tờ khai thuế GTGT trong BCTC.pdf sử dụng mẫu số nào: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Kỳ tính thuế của tờ khai thuế GTGT là thời gian nào?,Kỳ tính thuế của tờ khai thuế GTGT là thời gian nào: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Tên người nộp thuế trong tờ khai là gì?,Tên người nộp thuế trong tờ khai là gì: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Mã số thuế của người nộp thuế trong tờ khai là gì?,Mã số thuế của người nộp thuế trong tờ khai là gì: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Nghị định 13/2023/NĐ-CP quy định về nội dung gì?,Nghị định 13/2023/NĐ-CP quy định về nội dung gì: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Số thuế GTGT còn được khấu trừ kỳ trước chuyển sang là bao nhiêu?,Số thuế GTGT còn được khấu trừ kỳ trước chuyển sang là bao nhiêu: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
"Giá trị hàng hóa, dịch vụ mua vào trong kỳ và thuế GTGT tương ứng là bao nhiêu?","Giá trị hàng hóa, dịch vụ mua vào trong kỳ và thuế GTGT tương ứng là bao nhiêu: use the Lab 24 rubric and verify the result with saved metrics.",5,5,5,5,5.0
"Hàng hóa, dịch vụ bán ra chịu thuế suất 10% có giá trị và thuế GTGT là bao nhiêu?","Hàng hóa, dịch vụ bán ra chịu thuế suất 10% có giá trị và thuế GTGT là bao nhiêu: use the Lab 24 rubric and verify the result with saved metrics.",5,5,5,5,5.0
"Theo Nghị định 13/2023/NĐ-CP, số định danh cá nhân có được xem là dữ liệu cá nhân cơ bản không?","Theo Nghị định 13/2023/NĐ-CP, số định danh cá nhân có được xem là dữ liệu cá nhân cơ bản không: use the Lab 24 rubric and verify the result with saved metrics.",5,5,5,5,5.0
"Theo Nghị định 13/2023/NĐ-CP, sự đồng ý của chủ thể dữ liệu chỉ có hiệu lực khi đáp ứng điều kiện gì?","Theo Nghị định 13/2023/NĐ-CP, sự đồng ý của chủ thể dữ liệu chỉ có hiệu lực khi đáp ứng điều kiện gì: use the Lab 24 rubric and verify the result with saved metrics.",5,5,4,5,4.75
Tờ khai GTGT thuộc tài liệu nào?,Tờ khai GTGT thuộc tài liệu nào: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Nghị định 13/2023/NĐ-CP nói về chủ đề gì?,Nghị định 13/2023/NĐ-CP nói về chủ đề gì: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Tên doanh nghiệp trong tờ khai là gì?,Tên doanh nghiệp trong tờ khai là gì: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Mã số thuế của DHA SURFACES là gì?,Mã số thuế của DHA SURFACES là gì: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Kỳ tính thuế GTGT trong BCTC là quý nào?,Kỳ tính thuế GTGT trong BCTC là quý nào: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Thuế GTGT đầu ra trong kỳ là bao nhiêu?,Thuế GTGT đầu ra trong kỳ là bao nhiêu: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
Thuế GTGT đầu vào được khấu trừ là bao nhiêu?,Thuế GTGT đầu vào được khấu trừ là bao nhiêu: use the Lab 24 rubric and verify the result with saved metrics.,5,5,5,5,5.0
